season,brier
2019,0.20753296267818327
2020,0.2219429826267793
2021,0.2054696520939077
2022,0.20659529398142726
2023,0.20437869418640292
2024,0.21372071856948494
2025,0.2189969030545457
2026,0.18554615782702183
